"","control_rep1","control_rep2","treated_rep1","treated_rep2"
"Gene113",8,7,14,19
"Gene114",8,19,10,12
"Gene115",15,7,11,17
"Gene116",10,11,17,17
"Gene117",5,5,13,15
"Gene118",8,10,9,14
"Gene119",10,12,14,19
"Gene120",6,5,10,24
"Gene121",12,15,12,8
"Gene122",12,17,8,11
"Gene123",21,3,18,12
"Gene124",14,30,12,7
"Gene125",6,24,9,15
"Gene126",10,7,8,2
"Gene127",10,19,22,13
"Gene128",11,27,18,10
"Gene129",14,7,5,10
"Gene130",14,22,19,11
"Gene131",15,11,12,17
"Gene132",6,15,4,21
"Gene133",9,12,12,16
"Gene134",13,6,12,6
"Gene135",18,2,21,11
"Gene136",14,12,29,4
"Gene137",7,7,10,8
"Gene138",16,6,16,9
"Gene139",16,13,8,15
"Gene140",20,17,17,16
"Gene141",16,16,23,7
"Gene142",15,7,25,27
"Gene143",12,18,18,16
"Gene144",7,13,7,5
"Gene145",15,10,22,8
"Gene146",25,13,8,4
"Gene147",13,31,10,13
"Gene148",13,11,8,4
"Gene149",8,12,10,12
"Gene150",9,12,6,18
"Gene151",12,4,17,3
"Gene152",5,12,9,6
"Gene153",6,5,6,16
"Gene154",21,16,22,8
"Gene155",10,11,10,9
"Gene156",5,19,19,7
"Gene157",5,22,20,19
"Gene158",3,17,6,10
"Gene159",9,6,23,4
"Gene160",4,8,7,6
"Gene161",17,7,15,11
"Gene162",6,11,9,6
"Gene163",11,28,16,13
"Gene164",5,12,13,12
"Gene165",6,15,9,43
"Gene166",14,11,11,27
"Gene167",13,7,18,6
"Gene168",14,21,7,7
"Gene169",16,7,6,10
"Gene170",9,10,19,14
"Gene171",15,5,28,21
"Gene172",11,23,16,7
"Gene173",21,13,7,10
"Gene174",10,8,8,6
"Gene175",26,6,14,18
"Gene176",6,12,24,11
"Gene177",26,18,19,9
"Gene178",5,10,11,17
"Gene179",11,14,16,8
"Gene180",14,11,4,8
"Gene181",14,6,20,9
"Gene182",15,20,12,9
"Gene183",19,6,11,15
"Gene184",7,14,9,15
"Gene185",10,14,6,17
"Gene186",9,8,14,15
"Gene187",9,17,14,26
"Gene188",6,8,25,26
"Gene189",8,9,8,14
"Gene190",12,16,18,8
"Gene191",17,6,15,9
"Gene192",6,17,10,20
"Gene193",8,6,20,13
"Gene194",13,8,6,13
"Gene195",21,13,18,8
"Gene196",12,14,18,9
"Gene197",5,8,16,11
"Gene198",15,14,14,8
"Gene199",38,9,8,31
"Gene200",7,15,11,14
"Gene201",11,22,10,12
"Gene202",7,10,14,13
"Gene203",8,11,9,6
"Gene204",12,16,26,3
"Gene205",34,7,5,6
"Gene206",23,17,10,10
"Gene207",22,14,11,8
"Gene208",6,11,26,4
"Gene209",3,6,13,14
"Gene210",18,16,6,13
"Gene211",16,11,6,11
"Gene212",5,7,4,10
"Gene213",22,14,17,12
"Gene214",9,31,11,14
"Gene215",20,2,14,13
"Gene216",9,9,6,18
"Gene217",23,37,8,8
"Gene218",8,6,16,7
"Gene219",22,12,10,10
"Gene220",11,6,22,10
"Gene221",17,19,15,10
"Gene222",8,11,27,13
"Gene223",11,9,10,10
"Gene224",13,16,15,15
"Gene225",9,12,11,4
"Gene226",14,9,5,15
"Gene227",11,5,18,14
"Gene228",3,13,13,11
"Gene229",11,11,14,9
"Gene230",19,12,8,17
"Gene231",11,21,15,14
"Gene232",9,31,10,12
"Gene233",18,19,10,18
"Gene234",9,7,14,7
"Gene235",20,25,16,7
"Gene236",8,14,13,12
"Gene237",13,11,12,19
"Gene238",14,9,19,8
"Gene239",18,8,10,26
"Gene240",18,8,13,20
"Gene241",11,9,11,11
"Gene242",9,11,12,26
"Gene243",18,16,6,8
"Gene244",9,28,8,17
"Gene245",8,9,9,12
"Gene246",14,6,9,24
"Gene247",11,6,11,13
"Gene248",17,11,5,13
"Gene249",15,6,6,10
"Gene250",13,6,10,21
"Gene251",18,9,13,7
"Gene252",14,9,9,9
"Gene253",5,13,20,12
"Gene254",11,12,21,15
"Gene255",19,8,10,15
"Gene256",15,16,14,6
"Gene257",10,12,11,12
"Gene258",10,12,27,12
"Gene259",10,12,16,13
"Gene260",6,13,15,18
"Gene261",5,13,24,13
"Gene262",5,7,12,6
"Gene263",29,10,13,11
"Gene264",7,8,14,5
"Gene265",16,12,20,23
"Gene266",7,14,6,7
"Gene267",19,7,21,6
"Gene268",14,7,22,6
"Gene269",7,8,14,18
"Gene270",8,15,16,4
"Gene271",10,3,17,15
"Gene272",11,8,7,10
"Gene273",24,23,12,11
"Gene274",10,4,11,15
"Gene275",17,7,20,13
"Gene276",11,7,18,9
"Gene277",11,28,14,12
"Gene278",18,17,10,10
"Gene279",9,18,18,8
"Gene280",8,20,17,20
"Gene281",12,4,14,16
"Gene282",9,13,31,6
"Gene283",7,10,11,11
"Gene284",7,13,13,11
"Gene285",15,9,29,12
"Gene286",11,23,15,12
"Gene287",11,14,10,13
"Gene288",4,22,30,18
"Gene289",13,10,7,12
"Gene290",14,12,9,8
"Gene291",20,17,10,15
"Gene292",13,18,19,6
"Gene293",10,13,20,20
"Gene294",15,4,12,15
"Gene295",18,17,14,21
"Gene296",9,12,11,9
"Gene297",8,8,11,16
"Gene298",14,14,11,9
"Gene299",18,11,18,7
"Gene300",14,27,14,7
"Gene301",9,9,5,17
"Gene302",6,11,12,13
"Gene303",20,13,8,17
"Gene304",7,23,6,30
"Gene305",14,10,4,10
"Gene306",11,20,8,9
"Gene307",13,9,14,9
"Gene308",10,14,7,12
"Gene309",12,13,7,7
"Gene310",10,18,7,23
"Gene311",11,14,7,20
"Gene312",21,25,26,8
"Gene313",4,13,5,6
"Gene314",15,16,7,16
"Gene315",10,17,10,13
"Gene316",3,4,20,10
"Gene317",32,12,22,13
"Gene318",11,8,9,13
"Gene319",36,8,7,4
"Gene320",15,22,18,10
"Gene321",14,9,18,21
"Gene322",11,9,14,21
"Gene323",8,12,8,19
"Gene324",12,14,7,15
"Gene325",8,18,12,7
"Gene326",11,5,14,14
"Gene327",5,7,15,8
"Gene328",12,16,29,4
"Gene329",12,11,16,9
"Gene330",15,5,10,30
"Gene331",20,13,9,9
"Gene332",6,6,26,4
"Gene333",10,18,5,6
"Gene334",11,12,13,12
"Gene335",6,5,31,10
"Gene336",22,10,18,10
"Gene337",18,11,9,10
"Gene338",12,22,6,16
"Gene339",20,10,10,13
"Gene340",20,7,10,24
"Gene341",12,24,7,9
"Gene342",18,11,20,8
"Gene343",25,9,10,9
"Gene344",16,9,19,17
"Gene345",11,11,9,9
"Gene346",23,7,22,19
"Gene347",5,11,12,14
"Gene348",14,16,9,11
"Gene349",16,21,14,13
"Gene350",6,13,6,17
"Gene351",12,5,17,8
"Gene352",18,13,13,13
"Gene353",14,8,16,5
"Gene354",17,13,14,9
"Gene355",27,6,11,11
"Gene356",20,14,11,16
"Gene357",19,8,13,18
"Gene358",17,10,3,3
"Gene359",20,8,16,19
"Gene360",11,28,11,7
"Gene361",15,21,13,5
"Gene362",9,15,18,14
"Gene363",15,21,14,12
"Gene364",17,11,14,5
"Gene365",18,14,6,12
"Gene366",21,17,8,6
"Gene367",25,7,8,15
"Gene368",22,12,11,14
"Gene369",20,9,4,5
"Gene370",11,7,8,11
"Gene371",19,15,13,17
"Gene372",18,7,7,7
"Gene373",13,6,12,13
"Gene374",10,7,20,14
"Gene375",27,15,6,24
"Gene376",16,22,11,17
"Gene377",14,16,11,6
"Gene378",16,6,18,6
"Gene379",3,10,11,11
"Gene380",12,13,15,17
"Gene381",19,9,1,25
"Gene382",14,10,8,4
"Gene383",10,16,9,13
"Gene384",13,21,16,7
"Gene385",8,16,11,9
"Gene386",12,11,13,17
"Gene387",12,19,9,16
"Gene388",9,16,5,12
"Gene389",22,10,18,10
"Gene390",5,4,19,9
"Gene391",16,13,15,18
"Gene392",3,15,7,8
"Gene393",20,18,14,9
"Gene394",24,14,19,8
"Gene395",10,14,9,17
"Gene396",17,6,17,6
"Gene397",14,9,15,23
"Gene398",7,10,8,15
"Gene399",11,16,8,12
"Gene400",15,14,6,9
"Gene401",10,7,4,4
"Gene402",12,9,5,13
"Gene403",12,14,14,11
"Gene404",7,9,16,8
"Gene405",10,13,17,12
"Gene406",16,14,17,15
"Gene407",15,5,5,9
"Gene408",20,5,7,14
"Gene409",11,5,21,15
"Gene410",11,7,18,8
"Gene411",11,10,23,13
"Gene412",5,3,5,14
"Gene413",6,12,4,17
"Gene414",9,12,14,7
"Gene415",7,15,16,19
"Gene416",23,12,17,8
"Gene417",14,16,13,8
"Gene418",11,13,13,15
"Gene419",6,10,8,24
"Gene420",14,7,13,5
"Gene421",16,18,19,14
"Gene422",13,15,20,18
"Gene423",28,16,16,11
"Gene424",9,9,6,6
"Gene425",15,8,13,13
"Gene426",10,6,12,11
"Gene427",15,8,14,12
"Gene428",7,8,15,11
"Gene429",10,6,20,7
"Gene430",17,7,8,14
"Gene431",15,12,14,5
"Gene432",6,5,12,10
"Gene433",9,12,6,7
"Gene434",4,11,8,19
"Gene435",7,19,10,12
"Gene436",22,30,9,17
"Gene437",11,4,15,7
"Gene438",5,10,11,18
"Gene439",14,11,11,12
"Gene440",6,9,12,15
"Gene441",28,11,10,28
"Gene442",12,13,26,21
"Gene443",11,16,5,12
"Gene444",11,10,6,18
"Gene445",12,11,7,8
"Gene446",30,19,9,9
"Gene447",24,8,7,10
"Gene448",23,4,9,6
"Gene449",24,17,17,17
"Gene450",9,20,24,7
"Gene451",8,18,11,13
"Gene452",20,15,11,19
"Gene453",7,8,10,10
"Gene454",17,14,18,8
"Gene455",7,4,12,18
"Gene456",10,14,7,14
"Gene457",10,10,18,8
"Gene458",9,11,7,19
"Gene459",12,15,21,9
"Gene460",17,13,21,23
"Gene461",16,9,11,10
"Gene462",18,13,9,9
"Gene463",15,16,20,18
"Gene464",15,26,3,25
"Gene465",14,3,14,26
"Gene466",18,12,12,17
"Gene467",3,8,19,14
"Gene468",13,10,7,4
"Gene469",14,11,8,14
"Gene470",6,16,25,9
"Gene471",10,10,13,15
"Gene472",9,16,11,26
"Gene473",15,16,15,22
"Gene474",9,19,14,29
"Gene475",7,18,7,22
"Gene476",5,12,18,9
"Gene477",5,21,15,21
"Gene478",10,11,11,9
"Gene479",21,7,7,11
"Gene480",6,21,6,10
"Gene481",16,5,10,14
"Gene482",7,14,23,16
"Gene483",21,6,7,16
"Gene484",11,19,9,14
"Gene485",20,13,4,15
"Gene486",11,6,4,10
"Gene487",16,8,14,26
"Gene488",9,23,12,8
"Gene489",9,13,7,4
"Gene490",12,13,4,18
"Gene491",5,6,12,2
"Gene492",11,13,11,15
"Gene493",24,14,9,14
"Gene494",14,3,7,10
"Gene495",10,16,6,3
"Gene496",14,8,20,15
"Gene497",13,15,16,12
"Gene498",5,17,7,25
"Gene499",19,16,13,8
"Gene500",15,8,15,12
"Gene501",21,7,8,9
"Gene502",4,16,6,16
"Gene503",13,9,24,10
"Gene504",19,15,12,21
"Gene505",14,7,12,14
"Gene506",17,17,27,13
"Gene507",12,16,7,20
"Gene508",6,13,26,4
"Gene509",28,7,14,16
"Gene510",15,4,9,11
"Gene511",5,7,20,8
"Gene512",32,20,5,11
"Gene513",8,8,12,15
"Gene514",5,11,17,25
"Gene515",4,7,14,31
"Gene516",7,11,10,2
"Gene517",10,10,26,22
"Gene518",16,8,17,20
"Gene519",5,8,7,16
"Gene520",12,8,16,10
"Gene521",10,13,21,8
"Gene522",9,17,8,16
"Gene523",14,10,17,27
"Gene524",5,9,9,18
"Gene525",13,8,5,12
"Gene526",18,13,9,20
"Gene527",21,14,13,10
"Gene528",21,12,12,10
"Gene529",13,11,20,17
"Gene530",4,11,11,6
"Gene531",6,19,23,12
"Gene532",11,12,16,11
"Gene533",11,10,13,9
"Gene534",10,8,19,18
"Gene535",16,3,14,6
"Gene536",12,13,6,17
"Gene537",12,7,12,25
"Gene538",9,16,11,18
"Gene539",6,6,10,5
"Gene540",5,16,9,8
"Gene541",15,6,13,2
"Gene542",11,21,9,8
"Gene543",16,10,11,23
"Gene544",5,13,18,17
"Gene545",13,14,9,20
"Gene546",10,6,8,18
"Gene547",11,22,17,5
"Gene548",17,6,17,17
"Gene549",3,15,15,21
"Gene550",2,21,6,11
"Gene551",15,10,23,5
"Gene552",8,15,15,14
"Gene553",8,15,7,6
"Gene554",15,6,13,13
"Gene555",21,21,18,12
"Gene556",12,7,26,7
"Gene557",4,20,14,15
"Gene558",15,8,19,8
"Gene559",7,22,10,15
"Gene560",12,12,12,7
"Gene561",16,9,5,5
"Gene562",10,11,7,21
"Gene563",6,9,18,13
"Gene564",15,12,10,16
"Gene565",18,12,17,10
"Gene566",6,9,13,8
"Gene567",9,16,10,18
"Gene568",14,20,20,13
"Gene569",8,13,9,7
"Gene570",8,13,12,11
"Gene571",21,8,15,14
"Gene572",8,5,10,7
"Gene573",10,6,20,22
"Gene574",4,7,17,15
"Gene575",6,21,6,14
"Gene576",6,9,18,14
"Gene577",7,13,22,6
"Gene578",20,17,17,12
"Gene579",12,12,7,11
"Gene580",13,9,5,9
"Gene581",8,14,13,18
"Gene582",22,10,7,3
"Gene583",15,17,9,13
"Gene584",8,11,10,13
"Gene585",4,10,12,20
"Gene586",15,13,13,13
"Gene587",16,28,16,8
"Gene588",9,13,4,11
"Gene589",15,10,10,10
"Gene590",10,15,6,18
"Gene591",11,6,9,5
"Gene592",17,9,12,17
"Gene593",18,12,15,25
"Gene594",11,9,9,12
"Gene595",14,14,18,7
"Gene596",15,13,9,10
"Gene597",15,9,13,8
"Gene598",6,7,19,13
"Gene599",16,10,7,21
"Gene600",24,4,15,12
"Gene601",12,15,8,22
"Gene602",9,7,16,7
"Gene603",9,22,15,6
"Gene604",5,24,8,8
"Gene605",10,13,14,8
"Gene606",19,6,24,21
"Gene607",21,8,8,12
"Gene608",16,16,11,18
"Gene609",11,14,15,17
"Gene610",10,4,12,9
"Gene611",6,26,14,12
"Gene612",4,4,14,8
"Gene613",17,8,10,14
"Gene614",8,12,8,14
"Gene615",11,22,12,12
"Gene616",15,20,6,15
"Gene617",8,22,10,34
"Gene618",10,8,9,5
"Gene619",5,14,23,16
"Gene620",17,16,9,13
"Gene621",18,13,11,12
"Gene622",11,11,11,28
"Gene623",21,16,6,9
"Gene624",8,9,9,13
"Gene625",16,8,12,11
"Gene626",8,4,9,6
"Gene627",5,24,10,34
"Gene628",18,7,19,11
"Gene629",9,10,6,10
"Gene630",15,14,14,7
"Gene631",12,10,8,3
"Gene632",12,12,9,18
"Gene633",14,10,8,20
"Gene634",25,15,14,9
"Gene635",14,14,15,10
"Gene636",18,5,4,1
"Gene637",17,14,17,12
"Gene638",9,11,5,16
"Gene639",11,15,1,13
"Gene640",8,7,12,14
"Gene641",6,9,9,12
"Gene642",9,15,12,16
"Gene643",13,15,9,12
"Gene644",15,7,7,10
"Gene645",14,7,9,5
"Gene646",19,2,10,15
"Gene647",14,9,16,16
"Gene648",4,27,38,17
"Gene649",10,12,23,12
"Gene650",23,12,18,9
"Gene651",9,17,21,17
"Gene652",7,17,7,10
"Gene653",5,11,11,5
"Gene654",12,13,10,7
"Gene655",11,21,11,11
"Gene656",22,3,28,16
"Gene657",17,9,16,9
"Gene658",16,13,6,12
"Gene659",18,8,16,19
"Gene660",16,8,5,24
"Gene661",18,9,15,6
"Gene662",23,13,27,14
"Gene663",20,6,12,14
"Gene664",21,11,26,15
"Gene665",17,21,7,14
"Gene666",16,6,7,9
"Gene667",13,14,10,12
"Gene668",18,8,6,9
"Gene669",11,13,10,10
"Gene670",9,5,14,8
"Gene671",16,13,12,16
"Gene672",8,14,18,20
"Gene673",18,7,10,11
"Gene674",5,22,9,23
"Gene675",29,8,6,9
"Gene676",7,7,19,5
"Gene677",9,10,12,23
"Gene678",9,7,14,10
"Gene679",8,21,18,5
"Gene680",15,6,17,5
"Gene681",41,11,21,13
"Gene682",7,15,10,13
"Gene683",8,11,2,12
"Gene684",10,10,20,22
"Gene685",24,8,19,28
"Gene686",5,6,15,6
"Gene687",24,11,14,11
"Gene688",18,12,10,9
"Gene689",5,20,19,9
"Gene690",3,12,5,18
"Gene691",25,19,5,24
"Gene692",10,9,10,12
"Gene693",19,9,6,12
"Gene694",8,12,18,11
"Gene695",4,7,9,17
"Gene696",13,7,11,14
"Gene697",8,22,9,5
"Gene698",10,3,33,8
"Gene699",15,15,20,19
"Gene700",5,15,13,12
"Gene701",14,21,10,11
"Gene702",9,18,13,15
"Gene703",6,13,14,13
"Gene704",26,10,12,16
"Gene705",21,5,11,8
"Gene706",4,25,8,23
"Gene707",14,16,5,5
"Gene708",7,12,13,12
"Gene709",14,4,6,9
"Gene710",6,7,7,9
"Gene711",9,9,6,10
"Gene712",10,31,14,16
"Gene713",4,10,5,16
"Gene714",17,14,7,17
"Gene715",18,6,27,7
"Gene716",11,8,6,5
"Gene717",13,15,12,28
"Gene718",8,17,5,12
"Gene719",33,5,13,10
"Gene720",17,13,16,10
"Gene721",8,15,22,15
"Gene722",6,8,14,9
"Gene723",24,22,10,7
"Gene724",16,14,20,7
"Gene725",12,12,12,17
"Gene726",7,11,14,2
"Gene727",15,6,28,4
"Gene728",18,11,15,15
"Gene729",11,12,8,12
"Gene730",8,10,22,18
"Gene731",17,10,2,12
"Gene732",13,17,12,22
"Gene733",12,9,13,18
"Gene734",11,9,25,6
"Gene735",13,9,11,14
"Gene736",6,17,13,5
"Gene737",10,29,11,9
"Gene738",15,26,24,6
"Gene739",6,5,12,5
"Gene740",14,14,7,16
"Gene741",20,21,12,18
"Gene742",5,17,16,8
"Gene743",5,8,36,6
"Gene744",3,20,24,23
"Gene745",13,15,6,6
"Gene746",4,14,9,13
"Gene747",15,16,15,24
"Gene748",13,9,11,9
"Gene749",22,11,7,16
"Gene750",13,10,10,20
"Gene751",11,8,10,14
"Gene752",20,24,22,15
"Gene753",6,18,19,18
"Gene754",9,11,15,17
"Gene755",10,16,17,10
"Gene756",7,12,10,14
"Gene757",6,9,8,12
"Gene758",16,9,6,10
"Gene759",16,23,9,26
"Gene760",8,10,10,6
"Gene761",7,7,15,12
"Gene762",12,17,8,16
"Gene763",17,4,10,24
"Gene764",16,8,9,9
"Gene765",9,17,6,6
"Gene766",18,13,12,22
"Gene767",17,8,15,5
"Gene768",14,11,12,9
"Gene769",17,17,21,5
"Gene770",18,14,10,15
"Gene771",6,13,5,11
"Gene772",31,13,12,3
"Gene773",14,12,15,12
"Gene774",11,12,3,14
"Gene775",14,15,20,12
"Gene776",17,17,12,15
"Gene777",14,7,6,4
"Gene778",19,17,20,4
"Gene779",13,14,10,15
"Gene780",12,25,6,16
"Gene781",8,10,20,7
"Gene782",5,14,20,10
"Gene783",17,9,14,17
"Gene784",12,5,9,8
"Gene785",7,15,27,7
"Gene786",23,25,13,21
"Gene787",9,24,6,9
"Gene788",13,25,7,15
"Gene789",11,8,16,19
"Gene790",13,22,15,8
"Gene791",22,7,16,20
"Gene792",14,8,6,20
"Gene793",27,7,8,9
"Gene794",8,14,14,10
"Gene795",15,14,14,21
"Gene796",13,10,9,8
"Gene797",14,10,15,13
"Gene798",7,14,12,12
"Gene799",10,15,15,17
"Gene800",8,4,10,17
"Gene801",18,12,12,8
"Gene802",14,11,27,14
"Gene803",4,23,6,20
"Gene804",14,11,15,10
"Gene805",21,13,14,10
"Gene806",7,11,8,13
"Gene807",7,6,28,11
"Gene808",5,20,8,37
"Gene809",14,4,25,10
"Gene810",6,23,7,15
"Gene811",13,5,7,18
"Gene812",15,5,16,8
"Gene813",7,6,20,6
"Gene814",23,7,12,17
"Gene815",19,10,14,7
"Gene816",7,12,10,6
"Gene817",22,6,8,12
"Gene818",16,11,10,15
"Gene819",7,20,14,19
"Gene820",13,8,15,7
"Gene821",10,13,11,7
"Gene822",13,13,12,10
"Gene823",8,14,18,8
"Gene824",9,17,14,7
"Gene825",10,19,10,10
"Gene826",7,19,14,21
"Gene827",6,11,13,11
"Gene828",13,25,14,6
"Gene829",12,14,9,20
"Gene830",15,11,12,4
"Gene831",4,22,27,12
"Gene832",21,4,8,12
"Gene833",18,14,5,9
"Gene834",17,16,11,21
"Gene835",12,8,12,8
"Gene836",11,12,11,10
"Gene837",14,8,6,9
"Gene838",9,24,11,11
"Gene839",20,14,19,6
"Gene840",19,11,13,14
"Gene841",13,19,19,13
"Gene842",16,12,8,8
"Gene843",9,11,20,17
"Gene844",10,16,11,10
"Gene845",23,20,12,11
"Gene846",13,5,10,8
"Gene847",12,8,10,19
"Gene848",15,15,11,12
"Gene849",10,10,5,14
"Gene850",7,9,14,17
"Gene851",8,5,9,7
"Gene852",20,3,13,7
"Gene853",25,18,7,27
"Gene854",11,6,9,6
"Gene855",10,13,9,3
"Gene856",25,5,9,36
"Gene857",12,17,16,3
"Gene858",14,8,20,18
"Gene859",14,6,15,5
"Gene860",12,18,10,13
"Gene861",3,10,16,12
"Gene862",16,10,29,12
"Gene863",12,9,11,13
"Gene864",18,11,10,13
"Gene865",13,12,6,16
"Gene866",14,10,16,22
"Gene867",12,16,14,25
"Gene868",12,6,15,4
"Gene869",10,20,4,12
"Gene870",10,27,29,6
"Gene871",5,11,6,6
"Gene872",11,8,10,15
"Gene873",15,11,12,1
"Gene874",14,9,14,9
"Gene875",19,10,21,7
"Gene876",14,5,10,4
"Gene877",16,9,19,10
"Gene878",22,15,22,19
"Gene879",6,5,10,22
"Gene880",6,26,8,13
"Gene881",12,7,13,5
"Gene882",10,17,22,9
"Gene883",11,9,21,6
"Gene884",17,8,17,9
"Gene885",6,3,13,22
"Gene886",5,8,5,9
"Gene887",14,11,11,15
"Gene888",13,20,11,8
"Gene889",10,6,7,5
"Gene890",22,22,20,3
"Gene891",10,12,20,22
"Gene892",6,9,9,36
"Gene893",16,19,10,9
"Gene894",11,12,16,17
"Gene895",11,4,6,12
"Gene896",9,16,10,10
"Gene897",9,5,10,23
"Gene898",10,9,15,11
"Gene899",19,11,10,19
"Gene900",19,5,21,11
"Gene901",14,15,12,9
"Gene902",13,10,16,17
"Gene903",5,26,8,15
"Gene904",4,19,16,18
"Gene905",18,7,13,5
"Gene906",12,24,7,11
"Gene907",2,11,15,5
"Gene908",10,18,10,11
"Gene909",12,16,14,23
"Gene910",18,15,9,20
"Gene911",13,11,7,12
"Gene912",13,19,10,15
"Gene913",17,22,17,16
"Gene914",20,16,14,19
"Gene915",12,14,11,12
"Gene916",13,18,20,9
"Gene917",20,10,7,1
"Gene918",9,12,22,9
"Gene919",9,22,7,16
"Gene920",18,9,11,9
"Gene921",14,14,5,19
"Gene922",9,10,6,4
"Gene923",14,9,12,11
"Gene924",11,17,8,13
"Gene925",15,10,15,5
"Gene926",7,16,6,8
"Gene927",11,6,6,16
"Gene928",17,13,31,13
"Gene929",7,20,11,7
"Gene930",22,7,9,9
"Gene931",2,26,9,6
"Gene932",7,13,8,14
"Gene933",27,6,11,8
"Gene934",6,9,16,10
"Gene935",8,8,12,3
"Gene936",3,8,10,18
"Gene937",9,11,6,18
"Gene938",13,5,4,13
"Gene939",10,8,21,17
"Gene940",7,5,16,5
"Gene941",14,11,6,20
"Gene942",8,19,13,11
"Gene943",10,12,12,21
"Gene944",20,23,17,10
"Gene945",18,3,19,12
"Gene946",21,7,16,17
"Gene947",14,7,8,13
"Gene948",22,10,7,5
"Gene949",15,10,18,15
"Gene950",29,12,10,5
"Gene951",12,10,17,18
"Gene952",22,12,12,6
"Gene953",13,27,6,8
"Gene954",12,10,11,4
"Gene955",7,22,10,21
"Gene956",7,7,33,2
"Gene957",23,24,5,5
"Gene958",19,17,7,9
"Gene959",14,8,13,22
"Gene960",20,30,6,12
"Gene961",3,12,8,24
"Gene962",9,10,10,12
"Gene963",14,15,10,21
"Gene964",2,13,18,24
"Gene965",17,18,4,20
"Gene966",16,10,6,11
"Gene967",6,9,5,7
"Gene968",10,22,33,13
"Gene969",15,25,8,12
"Gene970",29,8,11,13
"Gene971",8,15,17,9
"Gene972",8,17,24,20
"Gene973",11,15,18,17
"Gene974",8,11,15,14
"Gene975",8,15,13,7
"Gene976",10,11,6,16
"Gene977",15,17,11,6
"Gene978",15,13,12,12
"Gene979",18,12,27,12
"Gene980",6,7,14,10
"Gene981",9,14,3,12
"Gene982",9,10,9,15
"Gene983",12,4,23,13
"Gene984",20,9,19,14
"Gene985",20,15,22,11
"Gene986",16,10,20,7
"Gene987",7,12,9,17
"Gene988",9,17,16,9
"Gene989",10,17,10,20
"Gene990",9,10,7,12
"Gene991",16,30,23,11
"Gene992",7,21,15,12
"Gene993",14,21,15,14
"Gene994",8,14,6,2
"Gene995",12,7,12,14
